node,earlier_block,later_block,earlier_n_docs,later_n_docs,earlier_total_docs,later_total_docs,earlier_share,later_share,share_delta,share_delta_abs,new_in_later_block,disappeared_in_later_block,p_value_fisher,q_value,exploratory_signal
corrective_preventive_action,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
data_quality,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
adverse_event_reporting,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
clinical_study,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
clinical_study,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
data_integrity,2020-2023,2024-current,3,3,6,3,0.5,1.0,0.5,0.5,False,False,0.4642857142857142,1.0,True
oversight,Before 2015,2015-2019,1,2,1,4,1.0,0.5,-0.5,0.5,False,False,1.0,1.0,True
oversight,2020-2023,2024-current,3,0,6,3,0.5,0.0,-0.5,0.5,False,True,0.46428571428571436,1.0,True
quality_assurance,Before 2015,2015-2019,1,2,1,4,1.0,0.5,-0.5,0.5,False,False,1.0,1.0,True
regulatory_guideline,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
regulatory_guideline,2015-2019,2020-2023,2,0,4,6,0.5,0.0,-0.5,0.5,False,True,0.13333333333333333,1.0,True
risk_based_monitoring,2020-2023,2024-current,1,2,6,3,0.16666666666666666,0.6666666666666666,0.5,0.5,False,False,0.22619047619047622,1.0,True
central_statistical_monitoring,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
governance_traceability,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
interpretability,2015-2019,2020-2023,0,2,4,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.4666666666666667,1.0,True
interpretability,2020-2023,2024-current,2,0,6,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,False,True,0.5000000000000001,1.0,True
